NOME_PRODUTO,QUANTIDADE,COD_CLIENTE,COD_PRODUTO
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,9.0,1,1
SUPORTE UNIV. BEDIN BU-25                    ,8.0,2,2
SUPORTE UNIV. BEDIN BU-25                    ,7.0,3,2
ANTENA 1.70 MT MULTIPONTO CENTURY            ,7.0,4,3
RECEPTOR MIDIA BOX HDTV B3                   ,6.0,5,4
SUPORTE UNIV. BEDIN BU-25                    ,6.0,6,2
SUPORTE UNIV. BEDIN BU-25                    ,6.0,7,2
RADIO RECEPTOR 2 FXS RM PFT22AC              ,6.0,8,5
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,6.0,9,6
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,6.0,10,6
SUPORTE UNIV. BEDIN BU-25                    ,50.0,11,2
SMARTPHONE LG K9 TV LM-X210BMW INDIGO        ,5.0,12,7
SUPORTE UNIV. BEDIN BU-25                    ,5.0,13,2
SUPORTE UNIV. BEDIN BU-25                    ,5.0,14,2
PEN DRIVE SONY R 8GB USMRGR                  ,5.0,15,8
PEN DRIVE SONY R 16GB USMRGR                 ,5.0,15,9
SUPORTE UNIV. BEDIN BU-25                    ,5.0,16,2
RECEPTOR MIDIA BOX HDTV B3                   ,5.0,17,4
TABLET NB730 MINI MS50G PRATA/PRETO          ,5.0,18,10
TABLET NB731 MINI MS50G DOURADO/BRANCO       ,5.0,18,11
RECEPTOR MIDIA BOX HDTV B3                   ,5.0,19,4
"TELEVISOR SMART 32"" TC32FS500B PANASONIC     ",5.0,20,12
RECEPTOR MIDIA BOX HDTV B3                   ,5.0,21,4
DVD D-15 KARAOKE MONDIAL                     ,5.0,11,13
ANTENA 1 50 MT MULTIPONTO CENTURY            ,5.0,22,14
SUPORTE UNIV. BEDIN BU-25                    ,40.0,23,2
CAIXA BLUETOOTH BS05B 5W SEMP TCL            ,4.0,24,15
CAIXA AMPLIFICADA CM-09 CONNECT DJ CONTROLLER,4.0,24,16
CAIXA AMPLIFICADA CM-09 CONNECT DJ CONTROLLER,4.0,25,16
AUTO RADIO AR-06 PRETO                       ,4.0,23,17
RECEPTOR MIDIA BOX HDTV B3                   ,4.0,5,4
ROTEADOR RE160 300 MBPS NOVO (05)            ,4.0,12,18
CAIXA BLUETOOTH BS16B 16W SEMP TCL           ,4.0,12,19
SUPORTE UNIV. BEDIN BU-25                    ,4.0,14,2
SUPORTE UNIV. BEDIN BU-25                    ,4.0,26,2
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,4.0,27,6
SUPORTE UNIV. BEDIN BU-25                    ,4.0,28,2
CARTAO DE MEMORIA 512MB MICRO SD             ,4.0,29,20
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,4.0,30,21
TABLET NB732 MINI MS50X PRETO                ,4.0,18,22
TABLET NB733 MINI MS50X AZUL/PRETO           ,4.0,18,23
RECEPTOR MIDIA BOX HDTV B3                   ,4.0,19,4
RECEPTOR MIDIA BOX HDTV B3                   ,4.0,10,4
RECEPTOR MIDIA BOX HDTV B3                   ,4.0,31,4
SUPORTE UNIV. BEDIN BU-25                    ,30.0,23,2
REPETIDOR RE051 300MPS WPS MULTILASER        ,3.0,32,24
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,3.0,33,25
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,3.0,34,25
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,3.0,34,21
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,3.0,35,21
DVD D-15 KARAOKE MONDIAL                     ,3.0,36,13
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,3.0,36,25
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,3.0,36,21
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,3.0,37,6
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,3.0,38,1
"TELEVISOR SMART 32"" TC32FS500B PANASONIC     ",3.0,39,12
CAIXA AMPLIFICADA CM-13 BIVOLT BLUETOOTH     ,3.0,39,26
CAIXA DE SOM AMPLIF.TROLLEY 8 POL SP329      ,3.0,39,27
SUPORTE UNIV. BEDIN BU-25                    ,3.0,40,2
TABLET NB304 M7 3G PLUS QUAD CORE PRETO      ,3.0,41,28
RECEPTOR MIDIA BOX HDTV B3                   ,3.0,42,4
RADIO RECEPTOR 2 FXS RM PFT22AC              ,3.0,43,5
RADIO RECEPTOR 5 FXS RM PF34                 ,3.0,43,29
SMARTPHONE LG K9 TV LM-X210BMW PRETO         ,3.0,44,30
SMARTPHONE LG K9 TV LM-X210BMW PRETO         ,3.0,45,30
SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    ,3.0,45,31
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,3.0,45,1
SMARTPHONE SAMSUNG GAL A10S 32GB AZUL        ,3.0,45,32
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,3.0,46,6
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,3.0,47,25
